Name,Lat,Lon,Url
DZA_BC_Bechar.AP.605710_TMYx.2003-2017.zip,31.646,2.27,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BC_Bechar/DZA_BC_Bechar.AP.605710_TMYx.2003-2017.zip
CAN_AB_Calgary-Canadian.Olympic.Park.Upper.712350_CWEC2016.zip,51.076,114.222,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Calgary-Canadian.Olympic.Park.Upper.712350_CWEC2016.zip
DZA_BC_Beni.Abbes.606020_TMYx.2003-2017.zip,30.133,2.167,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BC_Bechar/DZA_BC_Beni.Abbes.606020_TMYx.2003-2017.zip
CAN_AB_Iron.Springs.AgDM.715280_CWEC2016.zip,49.9,112.733,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Iron.Springs.AgDM.715280_CWEC2016.zip
DZA_BC_Beni.Abbes.606020_TMYx.zip,30.133,2.167,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BC_Bechar/DZA_BC_Beni.Abbes.606020_TMYx.zip
CAN_AB_Slave.Lake.AP.710690_CWEC2016.zip,55.293,114.777,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Slave.Lake.AP.710690_CWEC2016.zip
DZA_BC_Bechar.AP.605710_TMYx.zip,31.646,2.27,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BC_Bechar/DZA_BC_Bechar.AP.605710_TMYx.zip
CAN_AB_Calgary.Intl.AP.718770_CWEC.zip,51.12,114.02,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Calgary.Intl.AP.718770_CWEC.zip
DZA_BJ_Soummam-Bejaia-Ramdane.AP.604020_TMYx.2003-2017.zip,36.712,5.07,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BJ_Bejaia/DZA_BJ_Soummam-Bejaia-Ramdane.AP.604020_TMYx.2003-2017.zip
CAN_AB_Jasper-Warden.714860_CWEC2016.zip,52.926,118.03,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Jasper-Warden.714860_CWEC2016.zip
DZA_BJ_Soummam-Bejaia-Ramdane.AP.604020_TMYx.zip,36.712,5.07,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BJ_Bejaia/DZA_BJ_Soummam-Bejaia-Ramdane.AP.604020_TMYx.zip
CAN_AB_Smoky.Lake.AgDM.712740_CWEC2016.zip,54.278,112.499,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Smoky.Lake.AgDM.712740_CWEC2016.zip
DZA_BS_Biskra.AP.605250_TMYx.2003-2017.zip,34.793,5.738,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BS_Biskra/DZA_BS_Biskra.AP.605250_TMYx.2003-2017.zip
DZA_BS_Biskra.AP.605250_TMYx.zip,34.793,5.738,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BS_Biskra/DZA_BS_Biskra.AP.605250_TMYx.zip
CAN_AB_Calgary.Intl.AP.718770_CWEC2016.zip,51.114,114.02,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Calgary.Intl.AP.718770_CWEC2016.zip
DZA_BT_Batna.AP.604680_TMYx.2003-2017.zip,35.752,6.309,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BT_Batna/DZA_BT_Batna.AP.604680_TMYx.2003-2017.zip
